,product_name,prodcut_link,current_prices,old_prices,percent_discounts
77,Macbook Air 15 inch M2 2023 8GB 256GB sạc 70W | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-sac-70w.html,26.490.000₫,29.690.000₫,Giảm 11%
78,Laptop HP Envy X360 BF0112TU 7C0N9PA,https://cellphones.com.vn/laptop-hp-envy-x360-13-bf0112tu-7c0n9pa.html,29.290.000₫,20.490.000₫,Giảm 22%
79,Laptop Acer Aspire 5 A515-58GM-59LJ,https://cellphones.com.vn/laptop-acer-aspire-5-a515-58gm-59lj.html,23.190.000₫,7.600.000₫,Giảm 22%
80,Laptop ASUS X515MA-BR481W,https://cellphones.com.vn/laptop-asus-x515ma-br481w.html,15.990.000₫,59.990.000₫,Giảm 8%
81,Macbook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-1tb.html,6.990.000₫,17.990.000₫,Giảm 2%
82,Laptop Lenovo Ideapad Slim 5 Light 14ABR8 82XS002JVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-light-14abr8-82xs002jvn.html,58.990.000₫,11.490.000₫,Giảm 11%
83,Laptop Asus VivoBook Go 14 E1404FA-NK113W,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk113w.html,15.990.000₫,7.990.000₫,Giảm 22%
84,Laptop Asus VivoBook X515KA-EJ135W,https://cellphones.com.vn/laptop-asus-vivobook-x515ka-ej135w.html,8.990.000₫,26.990.000₫,Giảm 9%
85,Laptop Gaming Acer Nitro V ANV15-51-57B2,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-57b2.html,7.290.000₫,28.990.000₫,Giảm 9%
86,Laptop Lenovo LOQ 15IRX9 83DV000MVN,https://cellphones.com.vn/laptop-lenovo-loq-15irx9-83dv000mvn.html,24.490.000₫,36.490.000₫,Giảm 7%
87,Laptop Lenovo Yoga Duet 7 13ITL6 82MA009PVN,https://cellphones.com.vn/laptop-lenovo-yoga-duet-7-13itl6-82ma009pvn.html,26.990.000₫,34.990.000₫,Giảm 29%
88,Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-mini-m2-pro-2023.html,25.990.000₫,37.490.000₫,Giảm 11%
89,Laptop Asus TUF Gaming F15 FX507VV-LP157W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp157w.html,30.990.000₫,13.990.000₫,Giảm 20%
90,Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001,https://cellphones.com.vn/laptop-acer-aspire-3-a314-42p-r3b3.html,29.990.000₫,18.990.000₫,Giảm 14%
91,Laptop Asus VivoBook S 14 Flip TN3402YA-LZ192W,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tn3402ya-lz192w.html,11.990.000₫,30.490.000₫,Giảm 18%
92,Laptop Asus TUF Gaming A15 FA507NU-LP031W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp031w.html,15.490.000₫,24.990.000₫,Giảm 23%
93,Laptop Dell Inspiron 7506-5903SLV,https://cellphones.com.vn/laptop-dell-inspiron-7506-5903slv.html,23.490.000₫,43.990.000₫,Giảm 28%
94,Laptop Asus ROG Strix G16 G614JU-N3777W,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3777w.html,17.990.000₫,22.990.000₫,Giảm 14%
95,Laptop Gigabyte MF F2VN333SH,https://cellphones.com.vn/laptop-gigabyte-g5-mf-f2vn333sh.html,37.790.000₫,34.990.000₫,Giảm 13%
96,iMac 24 2021 M1 7GPU 8GB 256GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/imac-2021.html,19.990.000₫,19.990.000₫,Giảm 26%
97,Laptop Asus Vivobook Slate OLED T3304GA-LQ021WS,https://cellphones.com.vn/laptop-asus-vivobook-slate-t3304ga-lq021ws.html,25.990.000₫,18.490.000₫,Giảm 33%
98,Laptop Asus VivoBook 15 X1504VA-NJ070W,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj070w.html,13.490.000₫,21.490.000₫,Giảm 16%
99,Laptop Acer Aspire 7 A715-76G-59MW,https://cellphones.com.vn/laptop-acer-aspire-7-a715-76g-59mw.html,15.490.000₫,19.990.000₫,Giảm 16%
